Species	Temp	BodyWeight	g	Diet
Calanus	9	119.5	0.033	O
Calanus	18	119.5	0.064	O
Calanus	17	119.5	0.047	O
Calanus	17	119.5	0.057	O
Calanus	17	119.5	0.07	O
Calanus	15	119.5	0.044	O
Calanus	15	119.5	0.017	O
Calanus	12	119.5	0.005	O
Calanus	12	119.5	0	O
Calanus	12	119.5	0.059	O
Calanus	12	119.5	0.001	O
Calanus	7	119.5	0	O
Calanus	7	119.5	0.032	O
Calanus	7	119.5	0.032	O
Calanus	12	119.5	0.062	O
Calanus	12	119.5	0.121	O
Calanus	12	119.5	0.05	O
Calanus	7	83.6	0.077	O
Calanus	7	83.6	0.129	O
Calanus	7	83.6	0.11	O
Calanus	7	83.6	0.062	O
Calanus	7	83.6	0.11	O
Calanus	7	83.6	0.1	O
Calanus	7	83.6	0.11	O
Calanus	7	83.6	0.11	O
Calanus	7	84.9	0.009	O
Calanus	7	84.9	0	O
Calanus	7	84.9	0.014	O
Calanus	7	84.9	0.005	O
Calanus	7	84.9	0.009	O
Calanus	7	75.9	0.232	O
Calanus	7	75.9	0.2	O
Calanus	7	75.9	0.163	O
Calanus	7	75.9	0.148	O
Calanus	7	75.9	0.111	O
Calanus	7	75.9	0.153	O
Calanus	7	75.9	0.126	O
Calanus	3	164.29	0.045	O
Calanus	3	164.29	0.031	O
Calanus	3	164.29	0.013	O
Calanus	3	164.29	0.028	O
Calanus	3	164.29	0.018	O
Calanus	3	164.29	0.007	O
Calanus	3	164.29	0.007	O
Calanus	3	164.29	0.04	O
Calanus	3	164.29	0.025	O
Calanus	3	164.29	0.019	O
Calanus	3	164.29	0.043	O
Calanus	3	164.29	0.024	O
Calanus	3	164.29	0.021	O
Calanus	3	164.29	0.024	O
Calanus	3	164.29	0.009	O
Calanus	3	164.29	0.021	O
Calanus	3	164.29	0.055	O
Calanus	3	164.29	0.034	O
Calanus	3	164.29	0.031	O
Calanus	3	164.29	0.025	O
Calanus	3	164.29	0.018	O
Calanus	3	164.29	0.03	O
Calanus	3	164.29	0.03	O
Calanus	3	164.29	0.03	O
Calanus	3	164.29	0.022	O
Calanus	0.5	301	0.052	O
Calanus	0.5	301	0.022	O
Calanus	0.5	301	0.049	O
Calanus	0.5	301	0.01	O
Calanus	0.5	301	0.008	O
Calanus	0.5	301	0.023	O
Calanus	0.5	301	0.021	O
Calanus	0.5	301	0.004	O
Calanus	0.5	301	0.004	O
Calanus	0.5	301	0.004	O
Calanus	0.5	301	0.004	O
Calanus	0.5	301	0.004	O
Calanus	0.5	301	0.004	O
Calanus	0.5	301	0.004	O
Calanus	0.5	301	0.004	O
Calanus	0.5	301	0.004	O
Calanus	0.5	301	0.01	O
Calanus	0.5	301	0.019	O
Calanus	0.5	301	0.004	O
Calanus	0.5	301	0.004	O
Calanus	0.5	301	0.004	O
Calanus	2.3	313.8	0.008	O
Calanus	2.3	313.8	0.025	O
Calanus	2.3	313.8	0.027	O
Calanus	2.3	313.8	0.028	O
Calanus	2.3	313.8	0.031	O
Calanus	2.3	313.8	0.045	O
Calanus	0	490	0.035	O
Calanus	0	490	0.031	O
Calanus	0	490	0.027	O
Calanus	1	490	0.008	O
Calanus	1.5	490	0.011	O
Calanus	1.5	490	0.02	O
Calanus	1.5	490	0.014	O
Calanus	2	490	0.013	O
Calanus	0.5	258	0.0014	O
Calanus	0.5	258	0.0003	O
Calanus	0.5	258	0.0005	O
Calanus	0.5	258	0.0005	O
Calanus	0.5	258	0.0007	O
Calanus	0.5	258	0.0003	O
Calanus	0.5	258	0.0005	O
Calanus	0.5	258	0.0005	O
Calanus	0.5	258	0.0014	O
Calanus	0.5	258	0.0014	O
Calanus	7.5	71.1	0.04	O
Calanus	11.5	75.4	0.006	O
Calanus	11.5	75.4	0.002	O
Calanus	11.5	75.4	0.031	O
Calanus	11.5	75.4	0.004	O
Calanus	11.5	75.4	0.034	O
Calanus	11.5	75.4	0	O
Calanus	11.5	75.4	0.048	O
Calanus	11.5	75.4	0.053	O
Calanus	11.5	75.4	0.064	O
Calanus	11.5	75.4	0.132	O
Calanus	8.5	75.4	0	O
Calanus	8.5	75.4	0	O
Calanus	8.5	75.4	0.001	O
Calanus	8.5	75.4	0	O
Calanus	8.5	75.4	0.003	O
