"","sst","chlo","tmax","dt","pico_biom","nano_biom","micro_biom","phyto_slope","phyto_int","phyto_max"
"161",5,0.1,1000,0.01,0.0474561160629893,0.0228330863448423,0.00914362106459653,-1.10590919084062,-3.54950672345344,-8.2
"162",6,0.1,1000,0.01,0.0474561160629893,0.0228330863448423,0.00914362106459653,-1.10590919084062,-3.54950672345344,-8.2
"163",7,0.1,1000,0.01,0.0474561160629893,0.0228330863448423,0.00914362106459653,-1.10590919084062,-3.54950672345344,-8.2
"164",8,0.1,1000,0.01,0.0474561160629893,0.0228330863448423,0.00914362106459653,-1.10590919084062,-3.54950672345344,-8.2
"165",9,0.1,1000,0.01,0.0474561160629893,0.0228330863448423,0.00914362106459653,-1.10590919084062,-3.54950672345344,-8.2
"166",10,0.1,1000,0.01,0.0474561160629893,0.0228330863448423,0.00914362106459653,-1.10590919084062,-3.54950672345344,-8.2
"167",11,0.1,1000,0.01,0.0474561160629893,0.0228330863448423,0.00914362106459653,-1.10590919084062,-3.54950672345344,-8.2
"168",12,0.1,1000,0.01,0.0474561160629893,0.0228330863448423,0.00914362106459653,-1.10590919084062,-3.54950672345344,-8.2
"169",13,0.1,1000,0.01,0.0474561160629893,0.0228330863448423,0.00914362106459653,-1.10590919084062,-3.54950672345344,-8.2
"170",14,0.1,1000,0.01,0.0474561160629893,0.0228330863448423,0.00914362106459653,-1.10590919084062,-3.54950672345344,-8.2
"171",15,0.1,1000,0.01,0.0474561160629893,0.0228330863448423,0.00914362106459653,-1.10590919084062,-3.54950672345344,-8.2
"172",16,0.1,1000,0.01,0.0474561160629893,0.0228330863448423,0.00914362106459653,-1.10590919084062,-3.54950672345344,-8.2
"173",17,0.1,1000,0.01,0.0474561160629893,0.0228330863448423,0.00914362106459653,-1.10590919084062,-3.54950672345344,-8.2
"174",18,0.1,1000,0.01,0.0474561160629893,0.0228330863448423,0.00914362106459653,-1.10590919084062,-3.54950672345344,-8.2
"175",19,0.1,1000,0.01,0.0474561160629893,0.0228330863448423,0.00914362106459653,-1.10590919084062,-3.54950672345344,-8.2
"176",20,0.1,1000,0.01,0.0474561160629893,0.0228330863448423,0.00914362106459653,-1.10590919084062,-3.54950672345344,-8.2
"177",21,0.1,1000,0.01,0.0474561160629893,0.0228330863448423,0.00914362106459653,-1.10590919084062,-3.54950672345344,-8.2
"178",22,0.1,1000,0.01,0.0474561160629893,0.0228330863448423,0.00914362106459653,-1.10590919084062,-3.54950672345344,-8.2
"179",23,0.1,1000,0.01,0.0474561160629893,0.0228330863448423,0.00914362106459653,-1.10590919084062,-3.54950672345344,-8.2
"180",24,0.1,1000,0.01,0.0474561160629893,0.0228330863448423,0.00914362106459653,-1.10590919084062,-3.54950672345344,-8.2
"181",25,0.1,1000,0.01,0.0474561160629893,0.0228330863448423,0.00914362106459653,-1.10590919084062,-3.54950672345344,-8.2
"182",26,0.1,1000,0.01,0.0474561160629893,0.0228330863448423,0.00914362106459653,-1.10590919084062,-3.54950672345344,-8.2
"183",27,0.1,1000,0.01,0.0474561160629893,0.0228330863448423,0.00914362106459653,-1.10590919084062,-3.54950672345344,-8.2
"184",28,0.1,1000,0.01,0.0474561160629893,0.0228330863448423,0.00914362106459653,-1.10590919084062,-3.54950672345344,-8.2
"185",29,0.1,1000,0.01,0.0474561160629893,0.0228330863448423,0.00914362106459653,-1.10590919084062,-3.54950672345344,-8.2
"186",30,0.1,1000,0.01,0.0474561160629893,0.0228330863448423,0.00914362106459653,-1.10590919084062,-3.54950672345344,-8.2
